# x y z vx vy vz mass
23.735442 -21.475522 -8.103639 24.016543 -21.885544 -7.584781 0.631313
65.780979 46.707391 57.216221 67.954918 47.974265 58.986732 0.591769
-67.912894 -76.917398 84.518514 -70.064890 -79.327594 86.904284 1.333971
102.494623 -50.023684 137.864310 105.609284 -51.412675 142.017363 0.645263
-8.986737 59.578451 8.505137 -9.317635 61.012363 8.520564 1.150134
-1.375329 3.250866 1.607186 -1.128423 3.362347 2.299163 1.609342
-31.795678 -30.977172 3.196913 -33.216145 -32.153713 3.778061 1.184263
-83.222469 73.988597 -98.895474 -85.798467 76.198933 -102.070543 0.642412
127.884737 -71.191627 -135.114506 131.834463 -73.386383 -139.308503 0.878400
40.127959 142.033595 46.567132 41.301239 146.289577 48.003547 0.832666
34.070792 44.085979 59.932971 34.873903 45.404772 61.690235 1.890848
-96.670932 -27.124136 78.372516 -99.506626 -28.138118 80.568594 0.885841
-171.091831 -132.273392 62.902848 -176.344816 -136.319581 64.810961 0.846961
26.319863 53.963098 25.232560 27.422353 55.287243 25.942373 1.418766
170.153400 61.210628 -65.809960 175.239707 63.070368 -67.831269 0.609970
-95.924832 -183.245919 81.813961 -98.861121 -188.883721 84.327309 1.220737
31.022408 129.797093 163.410512 32.003309 133.745620 168.319503 0.650508
-9.382249 -126.078952 -190.523584 -9.656242 -129.931366 -196.466875 1.392030
9.512090 3.996138 85.117399 9.759723 4.192636 87.494817 0.937150
36.267926 20.692941 -64.954755 37.238712 21.095901 -66.590087 0.962771
116.365210 -51.524537 -180.324495 119.952124 -53.087513 -185.893861 1.786247
49.602454 34.183914 -72.072263 51.093886 35.334261 -74.171695 1.806069
8.791194 -170.520115 -48.303857 9.091181 -175.743312 -49.722778 0.910069
71.050617 135.971841 -7.690860 73.225461 139.998217 -7.992814 1.257159
-20.189618 11.268778 29.066070 -21.117057 11.570191 29.580599 1.196629
39.979111 -18.716475 33.784896 41.163018 -19.384549 35.001309 0.868478
-71.490083 22.259923 -41.125635 -73.491588 22.904183 -42.444139 1.851008
169.280646 29.840467 56.013015 174.486426 30.700415 57.656319 1.357082
67.172915 -43.133937 102.698115 69.139603 -44.287044 105.874460 0.918155
29.475366 -35.358701 98.199920 30.580261 -36.291696 101.031617 0.620028
69.673477 -87.004473 112.683400 71.828540 -89.658349 116.084217 1.055096
26.815732 12.939502 -39.957419 28.280686 12.807882 -40.961678 1.102818
-43.213033 25.873474 -42.072229 -44.025624 27.125549 -43.097170 1.997136
46.345586 116.616995 121.943784 47.885677 120.141397 125.631380 1.463099
-42.100625 98.478064 21.767817 -43.508841 101.383409 22.302922 1.222730
61.804727 11.160988 -47.537090 63.994515 11.460031 -48.998488 1.273500
24.153998 -121.022081 60.416533 24.853059 -124.531831 62.293161 1.781817
-84.402486 -92.113903 76.782963 -86.767100 -94.649914 78.864619 1.879483
92.361350 -77.170246 -116.171995 95.099112 -79.518736 -119.764022 1.448953
-5.471275 -3.187112 8.052492 -5.254022 -2.893892 8.133573 1.508227
181.180305 254.491434 321.770941 186.703890 262.421245 331.788110 1.357879
-131.679358 10.932832 4.279861 -135.401305 11.329842 4.429430 1.554993
-41.275475 11.329687 1.301892 -41.827265 11.920085 2.613526 1.956083
9.811547 66.119586 56.022633 10.142821 68.017335 57.609752 1.759108
-44.180552 101.794306 18.311443 -45.466713 104.922492 18.821965 1.888697
-1.051206 51.393743 2.580721 -0.723034 51.250523 3.646939 1.530331
-17.496223 -13.272962 118.235027 -18.064082 -13.559134 121.662137 1.884394
94.151541 105.528876 72.195033 97.143418 108.792143 74.345276 1.869691
-22.893077 -98.295143 64.153253 -23.583672 -101.037784 66.029979 0.629859
-86.041537 66.469963 -137.976453 -88.710101 68.502649 -142.246070 0.863624
-135.521199 11.560977 109.604175 -139.592830 11.928103 112.841881 1.423310
41.088736 35.069704 -80.351508 42.520585 36.271924 -82.685483 1.658538
-93.239152 49.448410 5.202714 -95.982224 50.884278 5.491962 0.923687
-47.049838 -88.122614 77.517828 -48.188714 -90.722275 79.707534 0.564075
-128.523491 65.376933 103.082674 -132.444000 67.335909 106.199330 0.713288
147.991771 51.499716 125.947493 152.537877 53.114518 129.690021 1.911240
11.055927 -13.144839 41.994957 11.312443 -13.921711 43.226196 1.722765
18.062181 -61.699205 -36.589612 18.766909 -63.396845 -37.669390 1.736753
-47.114648 -101.724714 139.260747 -48.599131 -104.788583 143.543372 1.715856
-63.887561 -68.498110 -84.013058 -65.872818 -70.663101 -86.663592 1.491287
200.450437 -5.476910 4.851081 206.553537 -5.549876 5.017341 1.172535
-7.875589 -4.270333 -37.085393 -8.371388 -3.827384 -38.544943 0.504240
-15.065183 5.637133 100.667893 -15.172604 5.874522 103.424911 0.589982
23.111611 93.422071 124.964041 23.933674 96.208242 128.556120 1.798200
-112.190353 19.842719 32.420945 -115.458704 20.408807 33.430449 1.688019
54.436294 50.038853 -185.581741 56.054483 51.537865 -191.319983 1.418178
108.954423 -164.538128 -78.897957 112.276996 -169.573033 -81.344334 1.298052
63.824194 -14.772769 -36.566031 66.055163 -14.867827 -37.729025 1.011365
-35.162380 -9.346799 41.995509 -36.078980 -9.667219 43.152510 0.568541
-15.426915 -151.254263 74.336269 -15.863767 -155.641870 76.582867 0.783634
120.220206 39.011906 145.192974 123.967103 40.125176 149.653043 1.392363
24.875667 -16.471201 -119.767532 25.656316 -17.037833 -123.307750 0.506736
-1.461920 -27.267845 78.830251 -1.430260 -27.838637 80.994385 1.534955
124.187246 133.030805 -94.279331 128.032050 137.101404 -97.238641 1.489948
50.580554 125.897416 -64.346528 52.072356 129.852832 -66.402126 0.508622
0.528590 17.689375 115.619518 0.602454 18.240885 118.854779 1.775876
-164.557280 -25.883862 -3.628291 -169.459961 -26.658223 -3.772725 0.795178
15.827450 10.835203 -9.300841 15.864653 10.096884 -8.954151 1.770181
62.270693 71.977014 64.398794 64.375968 74.314679 66.473059 1.376111
-55.649028 -39.043688 53.458099 -56.311735 -40.325480 54.166580 1.449309
-137.516411 195.540077 72.041701 -141.756510 201.669767 74.342419 1.086476
-143.360462 90.820368 94.673262 -147.705759 93.657224 97.516727 1.460979
22.325825 -11.277430 -31.271366 22.719426 -11.479745 -31.781707 1.147216
119.942369 -149.818117 -32.561584 123.568364 -154.397091 -33.507402 1.682539
-22.167276 12.064035 -7.142112 -22.796209 12.616397 -7.403356 1.703362
-146.121422 -34.961087 13.186699 -150.414447 -35.936539 13.623480 1.684662
-95.647737 -137.850294 -79.515408 -98.602677 -142.087047 -81.942944 1.466787
-156.955752 20.030176 -42.978147 -161.719678 20.490632 -44.197028 1.161618
-85.846982 62.155389 -118.916077 -88.513403 64.219675 -122.451178 0.914337
47.050211 -78.696671 23.877492 48.507053 -80.968140 24.646998 1.085206
-20.130856 6.947785 23.426712 -20.646060 7.287648 24.043933 1.446820
54.677274 -63.905553 -37.693493 56.171346 -65.539419 -38.747658 1.130000
48.607999 -7.004367 78.872697 50.089754 -7.052092 81.126582 1.573590
-54.108417 -69.338494 98.121588 -55.879453 -71.397548 101.084464 1.548479
183.142569 -298.938085 -133.011875 184.230410 -301.037735 -134.903596 1.418171
-189.335658 -26.906331 46.648122 -195.174274 -27.688782 48.043669 0.958351
-23.126721 25.521562 -28.944732 -24.492907 26.213363 -30.131164 0.597441
46.761536 -60.285270 -26.560260 47.864805 -61.776014 -27.064978 1.939616
41.709418 -58.602154 64.667681 42.639713 -60.258313 66.551653 0.646937
132.108403 -10.197579 21.164045 135.876573 -10.435513 21.713930 1.680117
-79.319242 -77.449339 -56.104195 -81.843485 -79.768058 -57.852667 1.697898
-77.721409 150.290007 -188.429809 -80.150886 154.932754 -194.270204 0.542121
-60.408024 -43.509154 8.385075 -62.012158 -44.706324 8.686050 1.338461
40.911812 -61.016024 58.845558 42.264848 -62.698773 60.816218 0.505490
-86.921622 35.016584 -61.225528 -89.762294 35.921255 -63.022132 1.972003
56.330378 -49.464720 -100.044161 58.015627 -50.889891 -103.206508 0.907663
95.902767 -140.300104 165.103739 98.883292 -144.650811 170.142686 0.809388
-11.581835 -15.500256 -7.096172 -10.373827 -16.341432 -7.051812 1.499719
-18.331060 -16.090378 -7.609298 -19.429862 -16.979821 -8.085488 1.941567
36.759501 -79.577733 -36.634398 37.735874 -82.246825 -37.690094 1.624683
9.510077 193.526066 90.694021 9.776527 199.412659 93.462964 1.211609
-84.988513 -79.676934 65.487711 -87.137133 -83.175477 66.705590 0.833419
33.954123 113.240213 83.284657 34.915202 116.527442 85.762657 1.253138
-19.403696 47.615464 109.154848 -19.975438 48.978082 112.349515 1.196053
-80.446772 72.073591 -36.495007 -82.831644 74.155470 -37.582542 0.529020
-31.512837 62.319242 61.036586 -32.468896 64.312843 62.871954 1.757870
78.762327 -74.289343 85.133892 81.017650 -76.430644 87.614586 1.139025
-57.206988 -65.401884 -17.179281 -58.807935 -67.311938 -17.707670 1.713076
-198.868140 8.657449 -122.514072 -205.020383 8.943196 -126.360092 0.602251
-32.551017 33.196207 53.867429 -33.336620 34.074944 55.087880 0.745007
-109.117000 50.938552 129.686295 -112.511909 52.558406 133.660994 0.863585
25.005127 -43.516391 -169.702769 25.723604 -44.808362 -174.814896 1.798631
22.102176 -138.356077 229.812294 22.505493 -139.456565 232.588611 0.964909
17.233483 106.356974 88.034839 17.684557 109.505575 90.585425 0.799893
-105.948995 48.145867 -0.030519 -106.768356 47.913383 -0.183800 0.793060
5.858124 112.752907 64.163721 6.618294 116.770278 66.505197 1.679164
-130.083303 -145.480347 98.045773 -133.975490 -149.774054 100.853944 1.080389
-30.289263 -2.629687 -20.847508 -31.443596 -2.288280 -20.722051 1.521879
6.669237 116.685621 89.584966 6.879539 120.092303 92.274186 1.508414
-93.051060 81.516976 -35.839022 -97.007928 84.031804 -39.355770 1.607890
-73.284413 -71.070953 67.445454 -76.044173 -72.117287 68.689796 1.899037
203.580379 94.517449 -37.366637 207.706270 96.123301 -38.341841 0.792300
142.853544 -60.974276 -61.689132 147.289811 -62.791197 -63.583417 0.510179
-22.347258 224.950795 -89.356733 -23.128738 231.912216 -92.184128 1.664736
-181.207492 -74.640277 108.611473 -186.792811 -76.879835 111.958473 1.249318
58.819772 -146.715257 6.130459 60.551107 -151.314082 5.536616 0.845022
92.663118 -10.956451 194.961297 95.383516 -11.229167 200.892738 1.127952
-0.921000 -17.675151 -16.245316 -0.461297 -18.099111 -16.725981 1.652694
-33.804150 9.313595 24.260712 -34.589038 9.965773 24.763950 1.864526
-3.381671 -110.778341 -165.540423 -3.502229 -114.082277 -170.613376 0.558821
46.784426 54.731696 11.937508 48.117603 56.628463 12.496555 0.949737
-157.112743 32.735378 -47.511914 -161.755366 33.670512 -48.941697 0.909846
17.987035 -59.471830 -119.597730 18.628710 -61.232128 -123.105677 1.922264
98.949929 104.632314 -73.478419 102.063945 107.860559 -75.763832 0.642600
6.043218 -34.341420 36.968610 6.289183 -34.924545 37.867323 1.702216
32.899672 -148.816439 83.283665 33.830097 -153.170424 85.710555 0.731478
56.017697 66.272234 12.533314 57.913851 68.236032 12.622764 1.353990
100.055441 -132.880297 33.144251 103.169369 -137.020740 34.107102 1.059763
82.958153 -86.126723 11.369236 85.867926 -88.126173 12.070990 0.590553
-44.612873 -100.917981 150.305087 -45.985411 -103.875603 154.720867 1.421990
32.388061 -18.907487 106.351280 33.201690 -19.552826 109.571503 1.672597
11.729861 -31.348094 46.648815 12.091798 -32.349102 48.150431 0.736330
25.586776 19.691762 -47.053391 25.481746 19.065026 -46.360266 1.885081
-91.770987 91.213282 -58.433265 -94.612032 94.109809 -60.137585 1.672763
-119.699764 90.001772 -98.279465 -123.312400 92.820462 -101.288150 1.978606
-44.232822 -165.433855 -114.917450 -45.550683 -170.404188 -118.536187 0.603742
39.374688 71.908139 -145.480480 40.559910 74.108723 -149.975691 1.479602
-13.243349 110.160316 -48.830401 -13.660054 113.441257 -50.302429 1.380725
76.091115 -100.584173 78.579518 77.131597 -102.646395 80.165929 1.926297
-33.258422 -49.469925 -240.927948 -34.277899 -50.952125 -248.428290 1.527836
87.168872 -21.839425 -23.634912 89.461973 -22.401413 -24.333599 1.625427
86.555965 71.877543 -20.535384 89.013906 74.051975 -21.123518 0.938702
189.708087 94.919066 -1.457416 195.463227 97.828576 -1.515502 1.661142
-33.909877 34.735024 18.512806 -34.942599 34.988517 19.286429 1.462289
-32.165603 -55.549178 -7.468461 -33.020551 -56.956736 -7.766083 1.763326
-33.642425 -105.697430 73.893087 -34.721402 -108.685185 76.148424 1.167969
131.535798 57.913705 -69.681074 135.474109 59.738896 -71.807058 1.598879
-53.237163 -94.371296 89.228924 -54.956310 -97.060324 91.827230 1.683067
-132.713809 52.168160 -91.727422 -136.736172 53.749806 -94.553519 1.356476
-15.774528 -19.165058 15.247624 -16.751273 -19.853800 16.079338 1.067848
-36.328759 82.944624 -87.331427 -37.382685 85.370415 -89.808954 1.131758
91.577438 -61.459677 -49.435453 94.038332 -63.344993 -50.887536 1.718899
62.435578 72.414095 72.761581 64.393148 74.693037 75.091801 1.520986
134.993182 4.173228 -6.118500 138.954423 4.405153 -6.339553 0.736903
-149.608477 112.599773 -155.904520 -154.216828 116.090934 -160.750843 1.893953
-59.580258 -0.483956 128.622175 -61.308259 -0.521002 132.355032 1.609841
-67.106069 -87.438890 -66.775207 -69.355354 -90.167460 -68.928661 0.657406
10.524620 -208.773937 -12.219087 10.763528 -215.080176 -12.630912 1.342346
58.457488 -43.422206 103.792240 60.260873 -44.724885 106.688624 1.041052
120.792887 -77.219541 3.453071 124.500577 -79.562122 3.579687 0.539514
48.111664 -2.107233 -0.908381 49.162702 -2.347465 -0.977630 1.408734
-43.335098 -34.226760 9.946548 -44.829836 -34.605779 10.514786 0.783474
14.927489 -5.127175 -25.655834 15.878167 -5.329901 -26.320665 1.597226
0.352002 -25.563090 -3.599575 0.048554 -26.493925 -4.600199 1.988088
-22.476790 -45.918222 -89.811309 -23.094911 -47.281204 -92.362827 1.500838
8.917466 -28.604090 -79.611554 9.361078 -30.551070 -80.926416 1.988652
-94.833710 -44.562000 73.938040 -97.664329 -45.644194 76.196004 1.433957
96.005200 -30.669965 -42.879994 98.613935 -31.503037 -44.178207 1.642460
131.836513 -61.462656 70.010664 133.529556 -61.843842 71.319626 0.530262
-96.178402 10.401526 137.014980 -99.217896 10.620517 140.788682 0.975001
17.293850 -33.595738 51.213808 18.216970 -35.414386 52.921429 0.650995
-51.002106 -109.567135 7.325211 -52.426392 -112.876061 7.617540 1.192453
32.240336 -6.882801 102.236174 33.087016 -7.121486 105.021918 1.368364
108.589991 -19.630753 72.986124 111.707418 -20.120239 75.101183 1.404809
-77.220253 -95.674496 -62.729080 -79.596399 -98.500070 -64.764287 1.688775
61.415061 10.132191 51.089875 63.445333 10.498120 52.573071 1.539118
-8.347789 171.639685 -208.081736 -8.618819 176.929594 -214.534908 0.712791
-96.666068 178.886344 -296.922726 -98.219776 179.910320 -299.299163 1.794723
99.091201 105.360754 -31.980159 101.913164 108.525838 -33.019732 0.693497
-9.149343 27.579958 29.435769 -9.602804 28.752472 31.156748 0.927097
146.705957 -32.536703 -37.336796 151.115298 -33.419111 -38.594364 1.151503
58.943958 -89.482776 -3.441809 60.050962 -90.072950 -2.854722 0.952388
-73.120213 -76.907905 81.086858 -75.214421 -79.212765 83.393994 1.195140
115.281778 -108.403650 -54.714861 118.699165 -111.710880 -56.423574 1.485739
-14.616588 19.678061 20.674690 -15.379867 19.457487 21.029181 1.381285
48.556500 -9.312488 -13.837313 49.674795 -9.658120 -14.132483 0.541649
